r_fighter,b_fighter,winner,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg
Lina Lansberg,Lucie Pudilova,Red,0,80,144,0.55,96,162,0.59,1,7,0.14,0,0,353,10,8,2.69,3.87,0.55,0.27,0.44,0.47,0.1,0.52,0,99,204,0.48,163,277,0.59,0,2,0,0,0,66,14,9,3.68,3.83,0.37,0.27,0.51,0.66,0.7,0.55
Mauricio Rua,Gian Villante,Red,2,94,173,0.54,94,174,0.54,2,3,0.66,0,0,4,27,14,3.57,2.79,0.5,0.48,0.54,0.49,0.7,2.01,0,55,151,0.36,55,151,0.36,0,1,0,0,0,9,17,14,4.38,5.47,0.44,0.23,0.55,0.83,0,0.45
Edson Barboza,Beneil Dariush,Red,1,30,82,0.36,31,83,0.37,0,0,0,0,0,3,24,11,4.18,4.34,0.45,0.5,0.57,0.75,0.1,0.48,0,51,121,0.42,51,121,0.42,0,2,0,0,0,0,22,6,3.78,2.65,0.48,0.34,0.57,0.8,0.9,1.9
Jussier Formiga,Ray Borg,Blue,0,30,62,0.48,44,77,0.57,0,3,0,0,0,205,23,8,1.42,2.34,0.39,0.35,0.64,0.87,0.6,1.82,0,36,88,0.4,53,105,0.5,0,6,0,0,1,262,13,5,1.52,1.93,0.52,0.5,0.48,0.46,1,3.89
Alex Oliveira,Tim Means,Red,0,12,24,0.5,18,31,0.58,6,11,0.54,1,0,289,22,12,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,9,12,0.75,34,41,0.83,0,1,0,0,0,121,33,15,5.1,3.65,0.49,0.42,0.6,0.65,0.2,1.16
Francisco Trinaldo,Kevin Lee,Blue,0,25,59,0.42,30,65,0.46,0,1,0,1,0,45,28,9,3.13,2.67,0.45,0.42,0.6,0.6,0.5,0.98,0,15,43,0.34,23,52,0.44,1,8,0.12,1,0,157,18,8,3.88,3.6,0.42,0.43,0.5,0.75,0.8,3.18
Sergio Moraes,Davi Ramos,Red,0,39,93,0.41,39,93,0.42,0,0,0,0,0,0,14,6,2.42,3.73,0.42,0.38,0.59,0.75,0.4,1.2,0,35,122,0.28,35,122,0.29,0,1,0,0,0,0,10,4,2.64,3.44,0.37,0.4,0.56,0.83,0.6,1.95
Rani Yahya,Joe Soto,Blue,0,59,215,0.27,65,221,0.29,1,11,0.09,0,0,57,28,11,1.59,1.77,0.37,0.32,0.5,0.24,1.9,2.86,0,54,113,0.47,98,176,0.56,1,1,1,2,0,280,18,7,3.36,5.37,0.41,0.21,0.67,0.7,1.9,0.85
Michel Prazeres,Joshua Burkman,Red,0,24,34,0.7,34,45,0.76,2,3,0.66,1,0,72,26,4,2.38,2.51,0.47,0.36,0.57,0.47,0.6,3.94,0,1,1,1,1,1,1,0,1,0,0,0,0,28,16,2.69,3.13,0.43,0.36,0.51,0.72,0.3,2.53
Rony Jason,Jeremy Kennedy,Blue,1,18,36,0.5,95,116,0.82,0,1,0,0,0,233,14,7,2.04,3.14,0.44,0.3,0.53,0.36,0.8,0.59,0,46,74,0.62,105,143,0.73,8,9,0.88,0,0,397,11,1,2.22,2.58,0.46,0.52,0.47,0.66,0,5.73
Garreth McLellan,Paulo Costa,Blue,0,6,14,0.42,6,14,0.43,0,1,0,0,0,0,13,6,3.56,2.94,0.54,0.22,0.45,0.34,0.9,1.15,1,22,32,0.68,23,33,0.7,0,0,0,0,0,5,14,3,6.2,6.38,0.58,0.75,0.47,0.8,0,0.45
Tyron Woodley,Stephen Thompson,Red,1,54,125,0.43,70,141,0.5,1,2,0.5,0,0,117,19,7,2.36,2.76,0.48,0.4,0.54,0.87,0.4,1.06,0,53,146,0.36,66,159,0.42,0,0,0,0,0,19,17,7,4.11,3.03,0.46,0.41,0.54,0.65,0,0.26
Lando Vannata,David Teymur,Blue,0,76,141,0.53,79,144,0.55,1,1,1,0,0,7,12,7,4.52,4.76,0.45,0.37,0.55,0.69,0.3,1.09,0,90,192,0.46,95,197,0.48,2,7,0.28,0,0,50,8,2,4.69,3.53,0.43,0.33,0.55,0.77,0,0.94
Rashad Evans,Daniel Kelly,Blue,0,53,138,0.38,62,150,0.41,1,4,0.25,0,0,7,19,8,2.14,2.42,0.37,0.44,0.63,0.73,0,2.98,0,74,193,0.38,92,215,0.43,0,8,0,0,0,11,13,4,3.62,4.64,0.38,0.34,0.61,0.78,0.3,1.86
Amanda Cooper,Cynthia Calvillo,Blue,0,7,28,0.25,8,29,0.28,0,1,0,0,0,0,3,5,3.55,3.2,0.44,0.38,0.51,0.28,1.8,1.53,0,13,26,0.5,15,29,0.52,1,1,1,3,0,107,9,6,4.41,4.12,0.38,0.44,0.64,0.77,0.8,1.8
Alistair Overeem,Mark Hunt,Red,1,55,70,0.78,59,76,0.78,0,1,0,0,0,213,47,19,3.67,2.44,0.64,0.55,0.57,0.73,0.8,1.42,0,21,51,0.41,27,59,0.46,0,0,0,0,0,0,13,14,2.81,2.9,0.43,0.55,0.51,0.64,0.2,0.51
Marcin Tybura,Luis Henrique,Red,0,50,66,0.75,144,174,0.83,1,2,0.5,0,0,173,25,8,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43,0,14,25,0.56,59,78,0.76,3,11,0.27,1,0,503,10,5,1.81,2.22,0.43,0.36,0.47,0.5,1,3.09
Mirsad Bektic,Darren Elkins,Blue,0,60,98,0.61,146,196,0.74,4,10,0.4,0,0,544,13,4,2.43,1.8,0.41,0.52,0.57,0.92,0.4,3.98,1,28,59,0.47,72,109,0.66,0,1,0,1,1,82,28,11,3.44,3.27,0.38,0.35,0.52,0.56,1.1,2.85
Iuri Alcantara,Luke Sanders,Red,0,23,75,0.3,27,79,0.34,1,2,0.5,1,0,6,35,10,2.72,2.79,0.45,0.62,0.49,0.6,0.8,1.44,0,94,134,0.7,134,182,0.74,1,2,0.5,0,0,218,13,5,6.61,4.37,0.52,0.3,0.5,0.72,0.2,0.71
Mark Godbeer,Daniel Spitz,Red,0,92,167,0.55,100,176,0.57,0,0,0,0,0,73,13,4,3.97,3.3,0.53,0,0.54,0.28,0,0,0,51,136,0.37,74,160,0.46,1,2,0.5,0,0,64,6,3,2.6,5.3,0.35,0.66,0.46,0,0,0.74
Tyson Pedro,Paul Craig,Red,1,23,35,0.65,34,46,0.74,0,0,0,0,0,157,10,5,2.9,2.39,0.59,0.3,0.56,0.5,0.8,0.76,0,12,24,0.5,29,47,0.62,0,3,0,0,0,6,17,7,2.42,2.86,0.46,0.22,0.45,0.37,1.6,1.76
Albert Morales,Andre Soukhamthath,Red,0,56,132,0.42,79,172,0.46,1,3,0.33,0,0,282,7,4,3.81,3.96,0.35,0.35,0.56,0.7,0.2,0.91,0,46,116,0.39,73,148,0.49,0,1,0,0,0,138,13,8,2.77,4.31,0.44,0.53,0.49,0.58,0.2,1.25
Derrick Lewis,Travis Browne,Red,1,39,71,0.54,39,71,0.55,0,0,0,0,0,100,27,12,2.43,2.48,0.5,0.26,0.4,0.53,0,0.53,0,21,47,0.44,23,49,0.47,0,1,0,0,0,4,18,7,2.93,4.31,0.41,0.68,0.42,0.75,0.2,1.21
Johny Hendricks,Hector Lombard,Red,0,51,136,0.37,69,155,0.45,0,0,0,0,0,0,18,8,3.49,3.99,0.45,0.46,0.53,0.63,0.3,3.83,0,37,103,0.35,43,109,0.39,2,9,0.22,0,0,122,34,10,3.02,3.35,0.46,0.48,0.53,0.77,0.5,1.69
Sam Sicilia,Gavin Tucker,Blue,0,10,87,0.11,10,88,0.11,0,0,0,0,0,26,15,8,2.46,3.55,0.33,0.43,0.59,0.7,0.9,1.45,0,55,163,0.33,60,168,0.36,1,1,1,0,0,15,13,3,4.29,4.18,0.44,0.44,0.57,0.53,1.5,3.13
Elias Theodorou,Cezar Ferreira,Red,0,38,116,0.32,70,155,0.45,1,4,0.25,0,2,162,16,3,4.19,2.39,0.42,0.28,0.53,0.59,0,1.27,0,11,38,0.28,11,38,0.29,3,6,0.5,2,0,105,13,8,1.9,2.44,0.42,0.53,0.53,0.84,0.5,2.69
Sara McMann,Gina Mazany,Red,0,7,14,0.5,7,14,0.5,2,2,1,1,0,62,13,6,2.26,1.92,0.46,0.65,0.47,0.5,0.5,4.38,0,0,2,0,0,2,0,0,0,0,0,0,0,7,6,3.73,3.52,0.5,0.52,0.5,0.33,0.2,4.34
Paul Felder,Alex Ricci,Red,1,23,71,0.32,23,71,0.32,0,0,0,0,0,3,17,6,3.7,3.44,0.44,0.28,0.48,0.64,0.2,0.29,0,21,59,0.35,21,59,0.36,0,0,0,0,0,0,10,5,2.48,2.53,0.41,0,0.64,0.64,0,0
Nordine Taleb,Santiago Ponzinibbio,Blue,0,48,121,0.39,57,130,0.44,0,0,0,0,0,0,15,7,3.66,2.62,0.51,0.76,0.66,0.73,0,1.94,1,53,171,0.3,65,183,0.36,0,0,0,0,0,118,30,7,4.9,4.67,0.41,0.3,0.61,0.6,0,0.48
Carla Esparza,Randa Markos,Blue,0,32,132,0.24,37,137,0.27,4,10,0.4,1,0,166,20,7,2.16,2.69,0.4,0.35,0.55,0.47,0.3,3.22,0,48,110,0.43,62,126,0.49,0,0,0,0,1,18,11,12,2.97,3.1,0.43,0.28,0.58,0.52,0.2,1.12
Aiemann Zahabi,Reginaldo Vieira,Red,1,44,112,0.39,45,113,0.4,0,0,0,0,0,12,11,2,3.43,3.61,0.43,0.16,0.71,0.79,0,0.2,0,64,190,0.33,73,199,0.37,2,13,0.15,0,0,143,13,5,3.76,2.89,0.4,0.27,0.59,0.25,0.8,1.97
Jack Marshman,Thiago Santos,Blue,1,6,46,0.13,11,51,0.22,0,0,0,0,0,4,23,10,2.74,4.19,0.25,0,0.56,0.2,0,0,1,27,71,0.38,32,76,0.42,1,2,0.5,0,0,100,22,11,3.72,2.57,0.48,0.33,0.53,0.65,0.1,0.88
Gerald Meerschaert,Ryan Janes,Red,0,3,6,0.5,5,9,0.56,0,0,0,1,0,0,36,17,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,0,3,8,0.37,10,16,0.62,1,1,1,0,0,78,10,3,7.69,5.53,0.48,1,0.59,0.58,0,0.35
Holly Holm,Germaine de Randamie,Blue,0,77,182,0.42,122,235,0.52,0,9,0,0,0,497,15,6,3.21,2.79,0.4,0.3,0.56,0.78,0.1,0.9,0,80,150,0.53,144,223,0.65,0,1,0,0,0,38,10,4,2.72,2.14,0.46,0,0.65,0.69,0.4,0
Anderson Silva,Derek Brunson,Red,0,43,78,0.55,54,89,0.61,0,0,0,0,0,0,34,11,3.05,2.05,0.61,0.77,0.6,0.69,0.8,0.5,0,54,101,0.53,118,184,0.64,2,10,0.2,0,0,228,23,9,3.51,3.05,0.47,0.33,0.51,0.85,0.6,3.14
Jacare Souza,Tim Boetsch,Red,0,7,18,0.38,15,30,0.5,1,2,0.5,1,0,74,26,10,2.53,2.83,0.47,0.39,0.62,0.57,1.3,2.57,0,6,10,0.6,8,12,0.67,0,0,0,0,0,0,21,13,2.93,2.9,0.5,0.34,0.57,0.59,0.8,1.45
Glover Teixeira,Jared Cannonier,Red,0,24,53,0.45,113,179,0.63,3,3,1,1,0,638,33,9,3.73,4.43,0.49,0.33,0.51,0.6,0.9,2.11,0,21,46,0.45,40,66,0.61,0,0,0,0,0,10,17,6,4.68,4.13,0.52,0.42,0.59,0.63,0,0.44
Dustin Poirier,Jim Miller,Red,0,97,216,0.44,122,243,0.5,3,3,1,0,1,237,30,8,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,71,135,0.52,83,150,0.55,1,6,0.16,3,0,82,37,17,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58
Randy Brown,Belal Muhammad,Blue,0,52,145,0.35,65,158,0.41,0,0,0,0,1,26,18,5,4.37,3.33,0.46,0.39,0.54,0.74,0.5,0.78,0,71,152,0.46,135,236,0.57,2,5,0.4,0,0,353,23,3,4.55,3.64,0.43,0.35,0.57,0.93,0.2,1.98
Wilson Reis,Yuta Sasaki,Red,0,34,84,0.4,52,107,0.49,6,9,0.66,2,0,526,23,10,1.83,3.04,0.29,0.42,0.55,0.47,0.6,5.15,0,34,105,0.32,69,145,0.48,0,1,0,0,2,68,21,6,2.16,2.5,0.41,0.43,0.5,0.41,1.2,3.03
Nik Lentz,Islam Makhachev,Blue,0,13,35,0.37,35,61,0.57,0,2,0,1,0,31,30,12,3.44,3.25,0.47,0.32,0.5,0.43,1.2,3.3,0,43,58,0.74,98,127,0.77,5,5,1,0,0,714,25,1,2.46,1.27,0.6,0.6,0.61,0.9,1,3.17
Ricky Glenn,Phillipe Nover,Red,0,52,115,0.45,60,123,0.49,0,11,0,0,0,272,22,8,3.94,4.1,0.43,0.13,0.51,0.68,0.4,0.55,0,50,102,0.49,108,165,0.65,0,2,0,0,0,0,11,8,1.79,2.48,0.35,0.28,0.56,0.44,0.7,0.99
Ryan LaFlare,Roan Carneiro,Red,1,29,91,0.31,51,116,0.44,1,4,0.25,0,0,309,14,3,2.89,1.86,0.4,0.44,0.63,0.58,0.2,2.13,0,19,50,0.38,25,56,0.45,0,4,0,0,0,113,21,11,1.46,1.82,0.46,0.42,0.62,0.83,1.4,3.05
Dennis Bermudez,Chan Sung Jung,Blue,0,20,34,0.58,24,38,0.63,0,3,0,0,0,20,17,9,4.42,3.07,0.46,0.4,0.59,0.82,1.1,3.89,1,17,35,0.48,19,37,0.51,0,1,0,0,0,5,17,8,3.93,4.52,0.41,0.44,0.52,0.72,0.6,0.7
Alexa Grasso,Felice Herrig,Blue,0,80,206,0.38,88,215,0.41,0,0,0,1,0,14,16,3,4.67,3.95,0.43,0.45,0.58,0.59,0.6,0.41,0,60,246,0.24,66,252,0.26,2,4,0.5,0,0,37,14,10,3.84,5.19,0.37,0.28,0.48,0.75,0.8,1.08
Abel Trujillo,James Vick,Blue,0,11,33,0.33,14,36,0.39,1,5,0.2,0,0,135,15,8,2.65,2.31,0.41,0.45,0.59,0.4,0.4,2.18,0,25,67,0.37,29,71,0.41,1,2,0.5,3,0,141,13,5,4.13,3.31,0.39,0.33,0.6,0.57,0.7,0.26
Ovince Saint Preux,Volkan Oezdemir,Blue,0,76,189,0.4,79,192,0.41,0,4,0,0,0,39,27,17,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,0,82,182,0.45,103,204,0.5,0,1,0,0,0,84,19,7,4.59,3.92,0.47,0.33,0.55,0.8,0.1,0.57
Anthony Hamilton,Marcel Fortuna,Blue,0,14,37,0.37,18,42,0.43,0,0,0,0,0,25,15,9,3.91,3.02,0.65,0.42,0.45,0.78,0,2.62,1,15,30,0.5,17,32,0.53,0,0,0,0,0,1,9,3,3.83,4.52,0.46,0.08,0.64,0.75,0.5,0.45
Jessica Andrade,Angela Hill,Red,0,131,322,0.4,148,342,0.43,2,3,0.66,0,0,95,25,12,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,1,89,209,0.42,99,220,0.45,0,0,0,0,0,6,16,13,5.44,4.94,0.5,0.34,0.61,0.75,0.1,0.73
Chas Skelly,Chris Gruetzemacher,Red,0,21,52,0.4,29,60,0.48,2,3,0.66,1,0,280,19,3,2.01,3.21,0.4,0.34,0.49,0.39,2.3,1.74,0,28,43,0.65,65,83,0.78,0,0,0,0,0,0,15,5,6.18,4.96,0.57,0.5,0.52,0.65,0,0.21
Ricardo Ramos,Michinori Tanaka,Red,1,45,88,0.51,55,99,0.56,0,1,0,1,0,102,16,6,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,0,28,73,0.38,51,103,0.5,2,8,0.25,0,0,211,11,3,1.97,1.99,0.37,0.38,0.5,0.43,0.2,2.4
Tecia Torres,Bec Rawlings,Red,0,81,189,0.42,112,232,0.48,1,2,0.5,0,0,251,13,6,4.74,3.59,0.48,0.14,0.61,0.61,0.1,0.66,0,37,151,0.24,41,158,0.26,1,2,0.5,0,0,111,7,8,4.48,5.66,0.42,0.4,0.57,0.68,0.4,0.71
Daniel Jolly,Khalil Rountree Jr.,Blue,0,0,3,0,0,3,0,0,2,0,0,0,8,5,3,1.32,3.39,0.46,0.33,0.44,0.5,0,2.83,1,3,3,1,5,6,0.83,0,0,0,0,0,1,14,5,3.84,4.18,0.39,0,0.5,0.58,0.1,0
Valentina Shevchenko,Julianna Pena,Red,0,13,17,0.76,46,51,0.9,2,2,1,1,0,163,23,4,3.28,2.11,0.52,0.63,0.62,0.71,0.4,2.56,0,27,35,0.77,78,99,0.79,1,5,0.2,0,0,360,12,5,3.16,2.3,0.47,0.55,0.5,0.23,0.8,1.94
Donald Cerrone,Jorge Masvidal,Blue,0,30,65,0.46,30,65,0.46,0,1,0,0,0,0,36,17,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,2,58,102,0.56,58,102,0.57,0,0,0,0,0,6,35,17,4.05,3.05,0.47,0.59,0.64,0.72,0.3,1.38
Andrei Arlovski,Francis Ngannou,Blue,0,3,9,0.33,3,9,0.33,0,0,0,0,0,0,34,23,3.78,3.2,0.45,0.36,0.57,0.76,0.2,0.38,1,8,13,0.61,8,14,0.57,0,0,0,0,0,3,17,3,2.33,2.16,0.41,0.62,0.41,0.71,0.3,0.76
Alex Caceres,Jason Knight,Blue,0,27,58,0.46,27,58,0.47,0,0,0,0,0,1,21,14,4.16,2.93,0.5,0.68,0.63,0.64,0.7,0.56,0,31,95,0.32,46,112,0.41,2,4,0.5,4,0,204,20,5,2.95,3.02,0.33,0.31,0.51,0.47,1.7,1.31
Nate Marquardt,Sam Alvey,Blue,0,28,65,0.43,52,90,0.58,1,2,0.5,0,0,112,35,19,2.71,2.32,0.49,0.51,0.55,0.7,0.8,1.87,0,36,84,0.42,45,95,0.47,0,1,0,0,0,121,33,18,3.28,3.63,0.44,0.14,0.52,0.82,0.1,0.06
Raphael Assuncao,Aljamain Sterling,Red,0,39,101,0.38,39,101,0.39,0,0,0,0,0,0,28,10,3.22,2.5,0.42,0.39,0.66,0.78,0.2,1.65,0,52,172,0.3,52,172,0.3,0,3,0,0,0,2,23,4,4.73,2.41,0.52,0.24,0.58,0.45,0.8,1.97
Bobby Nash,Li Jingliang,Blue,1,39,106,0.36,59,127,0.46,1,4,0.25,2,0,221,8,4,3.42,3.95,0.37,0.33,0.51,1,1.6,2.37,1,37,75,0.49,43,81,0.53,0,1,0,0,0,10,19,8,4.46,3.84,0.42,0.41,0.57,0.6,0,1.25
Henrique da Silva,Jordan Johnson,Blue,0,22,43,0.51,30,53,0.57,0,0,0,0,0,20,14,5,3.89,5.28,0.6,0.14,0.4,0.22,0.2,0.25,0,39,67,0.58,106,162,0.65,4,5,0.8,2,0,581,10,0,3.45,2.64,0.47,0.42,0.53,1,1.2,3.25
Eric Spicely,Alessio Di Chirico,Red,0,1,3,0.33,5,7,0.71,1,3,0.33,1,0,51,12,6,3.71,5.72,0.45,0.2,0.55,0.75,1,1.31,0,1,2,0.5,1,2,0.5,0,0,0,0,0,46,13,7,3.32,3.44,0.39,0.39,0.61,0.83,0,1.46
Marcos Rogerio de Lima,Jeremy Kimball,Red,0,12,25,0.48,12,25,0.48,0,0,0,0,0,4,22,10,3.7,2.9,0.57,0.45,0.51,0.59,0.5,1.4,0,5,17,0.29,5,17,0.29,0,0,0,0,0,18,15,8,2.81,3.84,0.46,0.2,0.49,0.5,0,1.41
Alexandre Pantoja,Eric Shelton,Red,0,37,99,0.37,67,135,0.5,1,3,0.33,2,0,230,27,5,4.32,3.9,0.49,0.48,0.5,0.67,1,2.2,0,32,93,0.34,44,107,0.41,4,12,0.33,0,0,171,12,6,2.57,1.88,0.42,0.51,0.63,0.46,0.2,2.83
Jason Gonzalez,JC Cottrell,Red,0,4,18,0.22,4,18,0.22,0,0,0,1,0,7,11,5,3.06,3.13,0.39,0,0.58,0.3,1,0,0,1,6,0.16,8,15,0.53,1,1,1,0,0,157,17,5,0.79,2.75,0.25,1,0.45,0.5,0,0.79
Yair Rodriguez,BJ Penn,Red,1,55,111,0.49,56,113,0.5,0,0,0,0,0,19,16,5,4.65,3.99,0.46,0.27,0.52,0.58,0.7,0.69,0,4,22,0.18,7,27,0.26,0,0,0,0,0,22,16,14,2.76,3.2,0.48,0.55,0.56,0.74,0.5,1.19
Joe Lauzon,Marcin Held,Red,0,20,62,0.32,44,86,0.51,1,2,0.5,1,0,97,28,16,2.84,5.39,0.39,0.45,0.54,0.54,2,2.39,0,23,78,0.29,32,90,0.36,5,5,1,0,0,491,23,7,1.41,2.02,0.34,0.46,0.47,0.37,1.3,2.46
Court McGee,Ben Saunders,Blue,0,54,172,0.31,77,197,0.39,1,3,0.33,0,0,229,22,12,4.63,3.68,0.37,0.25,0.6,0.69,0.4,1.89,0,49,139,0.35,67,165,0.41,0,0,0,0,0,0,22,13,3.23,3.58,0.5,0.4,0.51,0.66,1.3,0.2
John Moraga,Sergio Pettis,Blue,0,33,120,0.27,42,131,0.32,1,5,0.2,0,0,163,19,7,2.57,2.55,0.43,0.23,0.56,0.44,1.1,0.62,0,48,159,0.3,50,161,0.31,2,2,1,0,0,84,18,5,3.88,2.91,0.37,0.4,0.65,0.67,0.4,0.85
Devin Powell,Drakkar Klose,Blue,0,22,80,0.27,44,102,0.43,0,0,0,0,0,7,9,4,2.88,3.67,0.41,0,0.51,0,0.6,0,0,68,110,0.61,114,163,0.7,2,2,1,0,0,486,14,2,4.33,3.4,0.55,0.3,0.52,0.68,0,1.78
Frankie Saenz,Augusto Mendes,Blue,1,40,106,0.37,49,116,0.42,0,4,0,0,0,154,13,7,3.94,3.5,0.47,0.31,0.52,0.61,0.1,1.74,0,42,109,0.38,74,142,0.52,4,9,0.44,0,0,132,6,2,2.42,3.91,0.34,0.33,0.56,0.8,0,1.75
Aleksei Oleinik,Viktor Pesta,Red,0,7,15,0.46,11,19,0.58,0,0,0,1,0,34,60,17,3.29,3.8,0.48,0.46,0.44,0.37,1.9,1.82,0,7,19,0.36,18,31,0.58,1,1,1,0,0,103,10,4,1.58,2.54,0.36,0.28,0.56,1,0,3.29
Anthony Rocco Martin,Alex White,Red,0,20,40,0.5,83,119,0.7,2,6,0.33,0,0,744,17,6,2.68,2.59,0.37,0.27,0.58,0.68,1,0.71,0,11,30,0.36,28,51,0.55,0,0,0,0,1,40,13,6,3.76,3.07,0.42,0.28,0.6,0.71,0.5,0.92
Jocelyn Jones-Lybarger,Nina Nunes,Blue,0,21,73,0.28,33,86,0.38,0,1,0,0,0,3,6,4,2.96,4.83,0.31,0.25,0.56,0.81,0,0.34,0,48,106,0.45,89,155,0.57,1,1,1,2,0,511,11,7,4.39,3.47,0.45,0.33,0.55,0.73,0.5,0.24
Walt Harris,Chase Sherman,Red,1,32,73,0.43,33,74,0.45,0,1,0,0,0,2,13,10,3.05,3.33,0.39,0.28,0.54,0.7,0.1,0.29,0,20,63,0.31,20,63,0.32,0,0,0,0,0,0,16,12,6.04,6.65,0.45,0.5,0.52,0.74,0,0.09
Bojan Mihajlovic,Joachim Christensen,Blue,0,22,54,0.4,31,65,0.48,0,0,0,0,0,66,10,6,1.23,5.95,0.35,0,0.47,0.33,0,0,1,41,95,0.43,139,199,0.7,0,1,0,0,0,332,14,6,3.78,3.29,0.41,0,0.46,0,0,0
Dmitrii Smoliakov,Cyril Asker,Blue,0,5,10,0.5,28,35,0.8,0,1,0,0,0,0,9,3,1.44,3.81,0.42,0,0.55,0.75,0,0,0,19,47,0.4,39,90,0.43,1,1,1,0,0,82,9,4,3.35,5.82,0.39,0.62,0.35,1,0.9,4.41
Amanda Nunes,Ronda Rousey,Red,0,27,47,0.57,27,47,0.57,0,0,0,0,0,0,23,5,4.55,2.62,0.51,0.54,0.57,0.82,0.7,2.73,0,7,14,0.5,7,14,0.5,0,0,0,0,0,0,12,2,4.17,4.14,0.52,0.68,0.44,0.5,4.8,6.26
Dominick Cruz,Cody Garbrandt,Blue,0,88,291,0.3,95,298,0.32,0,7,0,0,0,1,24,4,3.91,2.61,0.33,0.42,0.7,0.83,0.1,2.82,2,68,195,0.34,71,198,0.36,1,4,0.25,0,0,39,14,5,3.06,3.91,0.4,0.34,0.6,0.8,0,1.1
TJ Dillashaw,John Lineker,Red,0,71,119,0.59,177,249,0.71,5,6,0.83,1,0,413,18,5,5.09,3.47,0.41,0.3,0.62,0.77,0.8,1.56,0,38,90,0.42,51,107,0.48,1,2,0.5,0,0,18,31,9,5.36,4.27,0.4,0.58,0.56,0.67,0.6,0.56
Dong Hyun Kim,Tarec Saffiedine,Red,0,36,107,0.33,64,138,0.46,3,8,0.37,0,0,317,22,4,2.12,1.89,0.49,0.43,0.58,0.71,0.6,2.93,0,52,105,0.49,68,122,0.56,2,6,0.33,0,0,85,16,7,4.05,3.06,0.47,0.36,0.62,0.84,0.1,0.52
Louis Smolka,Ray Borg,Blue,0,10,43,0.23,20,53,0.38,0,1,0,1,0,45,17,9,4.67,4.11,0.47,0.35,0.53,0.32,1.8,1.69,0,21,38,0.55,33,53,0.62,4,8,0.5,1,0,653,13,5,1.52,1.93,0.52,0.5,0.48,0.46,1,3.89
Johny Hendricks,Neil Magny,Blue,0,18,36,0.5,52,76,0.68,6,7,0.85,0,0,600,18,8,3.49,3.99,0.45,0.46,0.53,0.63,0.3,3.83,0,50,91,0.54,96,139,0.69,1,1,1,2,0,1,29,12,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17
Antonio Carlos Junior,Marvin Vettori,Red,0,28,75,0.37,44,94,0.47,4,13,0.3,0,0,334,11,5,1.95,2.14,0.42,0.39,0.52,0.53,0.8,3.42,0,29,70,0.41,99,144,0.69,1,1,1,1,0,179,19,7,4.56,4.24,0.45,0.45,0.56,0.69,0.5,1.66
Mike Pyle,Alex Garcia,Blue,0,5,24,0.2,6,25,0.24,0,0,0,0,0,0,27,14,2.74,2.84,0.45,0.35,0.6,0.7,1.5,1.8,1,14,29,0.48,19,34,0.56,1,2,0.5,0,0,89,15,6,1.81,3.03,0.31,0.52,0.59,0.66,0.1,3.72
Brandon Thatch,Niko Price,Blue,0,8,14,0.57,9,15,0.6,0,0,0,2,0,1,11,5,2.7,3.63,0.42,0.66,0.52,0.5,0.7,1.36,0,6,16,0.37,18,30,0.6,1,4,0.25,2,0,171,15,7,5.46,5.6,0.42,0.2,0.48,0.64,0.7,0.7
Paige VanZant,Michelle Waterson-Gomez,Blue,0,5,12,0.41,9,16,0.56,0,1,0,0,0,0,8,5,3.35,2.62,0.52,0.33,0.42,0.34,1,1.27,0,12,17,0.7,13,18,0.72,1,1,1,2,0,107,18,12,3.56,4.19,0.46,0.32,0.49,0.7,0.7,1.42
Sage Northcutt,Mickey Gall,Blue,1,13,23,0.56,22,32,0.69,0,1,0,0,0,63,11,2,3.58,1.96,0.52,0.34,0.58,0.41,0.6,1.81,1,9,18,0.5,29,40,0.72,2,2,1,3,0,205,7,5,2.94,4.25,0.46,0.3,0.49,0.36,1.9,1.21
Urijah Faber,Brad Pickett,Red,1,70,126,0.55,89,151,0.59,5,10,0.5,1,0,381,35,11,2.65,2.59,0.4,0.3,0.64,0.58,0.8,1.54,0,18,65,0.27,20,67,0.3,1,1,1,0,1,31,25,14,3.02,4.63,0.31,0.44,0.55,0.58,0.4,2.47
